Dates,Season,Game ,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
2/7/21,2020,Superbowl,Tampa Bay Buccaneers,31,9,Kansas City Chiefs,KC,-3,54.5,Raymond James Stadium
2/2/20,2019,Superbowl,Kansas City Chiefs,31,20,San Francisco 49ers,KC,-1.5,53,Hard Rock Stadium
2/3/19,2018,Superbowl,Los Angeles Rams,3,13,New England Patriots,NE,-2,55.5,Mercedes-Benz Stadium
2/4/18,2017,Superbowl,New England Patriots,33,41,Philadelphia Eagles,NE,-4.5,48.5,U.S. Bank Stadium
2/5/17,2016,SuperBowl,New England Patriots,34,28,Atlanta Falcons,NE,-3,57.5,NRG Stadium
2/7/16,2015,Superbowl,Denver Broncos,24,10,Carolina Panthers,CAR,-4.5,43,Levi's Stadium
2/1/15,2014,Superbowl,New England Patriots,28,24,Seattle Seahawks,NE,-1,47.5,University of Phoenix Stadium
2/2/14,2013,Superbowl,Denver Broncos,8,43,Seattle Seahawks,DEN,-2,47.5,MetLife Stadium
2/3/13,2012,Superbowl,San Francisco 49ers,31,34,Baltimore Ravens,SF,-4.5,48,Mercedes-Benz Superdome
2/5/12,2011,Superbowl,New England Patriots,17,21,New York Giants,NE,-2.5,53,Lucas Oil Stadium
2/6/11,2010,Superbowl,Green Bay Packers,31,25,Pittsburgh Steelers,GB,-3,45,Cowboys Stadium
2/7/10,2009,Superbowl,Indianapolis Colts,17,31,New Orleans Saints,IND,-5,57,Sun Life Stadium
2/1/09,2008,Superbowl,Arizona Cardinals,23,27,Pittsburgh Steelers,PIT,-7,46,Raymond James Stadium
2/3/08,2007,Superbowl,New England Patriots,14,17,New York Giants,NE,-12,55,University of Phoenix Stadium
2/4/07,2006,Superbowl,Indianapolis Colts,29,17,Chicago Bears,IND,-7,47,Dolphin Stadium
2/5/06,2005,Superbowl,Pittsburgh Steelers,21,10,Seattle Seahawks,PIT,-4,47,Ford Field
2/6/05,2004,Superbowl,Philadelphia Eagles,21,24,New England Patriots,NE,-7,46.5,Alltel Stadium
2/1/04,2003,Superbowl,New England Patriots,32,29,Carolina Panthers,NE,-7,37.5,Reliant Stadium
1/26/03,2002,Superbowl,Oakland Raiders,21,48,Tampa Bay Buccaneers,LVR,-4,44,Qualcomm Stadium
2/3/02,2001,Superbowl,St. Louis Rams,17,20,New England Patriots,LAR,-14,53,Louisiana Superdome
1/28/01,2000,Superbowl,Baltimore Ravens,34,7,New York Giants,BAL,-3,33,Raymond James Stadium
